,mean,std,min,max
t1,7.4889166062402905,2.601081724963691,3.0595820506802496,11.99761601760761
t2,7.4863900368555845,2.5995830477560946,3.042357396944504,11.92934093478971
tr,4.989810264201097,1.7347228447013356,2.023713268354883,7.955660331517569
hr,49.89832451762057,17.336301214122155,20.31474973644597,79.68002354108374
lr,49.91565139256193,17.345636573283617,20.192245862820567,79.79020953483078
W,59.983173509114806,11.565699805749285,40.04348281480722,79.92265149462668
rf_ratio,0.5508440797037303,0.14469195705753354,0.3035447657018292,0.7963356997505345
mass_kg,0.7175242865928554,0.2051160721427118,0.2816731670387106,1.218916833110951
smax_design,197.76355927844511,138.54756117895533,30.056868109418446,673.8828880954447
umax_design,0.5862601223805528,0.6718167395818972,0.03688400417733324,4.274159946646204
